CustomerKey;geo_zone;Customer_name;cust_type;cust_category;cust_aging_year;customer_since;cust_country_code
4daf9b1a4d634adf9de11e0dcfaba21be0fc9d2f;Europe;Client numero 1671;OEM; customer;0.0;2009-08-10 00:00:00.000;GBR
50bb1a7a2f43e397baaf6e5f442847900e3d2ac7;Europe;Client numero 580;aftermarket_only; customer;0.0;2009-11-06 00:00:00.000;FRA
60b98d95c1994c71fb53a8b72498ab49b8304ea2;Asia;Client numero 201;OEM; customer;0.0;2014-11-06 06:33:24.000;IND
61826e19cd178b5c1c2d6df69012c5978f06e9d3;Europe;Client numero 1821;OEM; customer;4.0;2003-12-01 00:00:00.000;DEU
70dc87a45b508bad7a9cb3343cc5db28bea5c160;Europe;Client numero 1579;OEM; customer;1.0;2006-06-13 00:00:00.000;SWE
725c56c5512cf55b8cf6ab37c84f45be1a98e32a;Europe;Client numero 1337;OEM; customer;4.0;2003-12-01 00:00:00.000;DEU
73573a9555cc10e14ae72068b344a56536794959;Asia;Client numero 1565;OEM; customer;0.0;1901-01-01 00:00:00.000;JPN
83b3e679643b429bdc1f834790a3b63e3ae17e33;Asia;Client numero 1921;aftermarket_only; customer;;2014-07-22 06:49:46.000;JPN
8d4889e3481cf3d4951616acd854ab063adc6d2a;;Client numero 3403;distributor; customer;;1994-11-15 00:00:00.000;
91b53c57ce8a696fd2d27addd33aea49298f17d8;Europe;Client numero 1524;distributor; customer;0.0;2012-06-07 14:27:28.000;ITA
922f0f9fbc47d008925a15b13c663170cd3c8b00;Europe;Client numero 2720;aftermarket_only; customer;0.0;2011-04-01 00:00:00.000;ITA
93b869a066f06ea3488fbc922e744750def3c622;Americas;Client numero 2637;distributor; customer;2.0;2005-05-24 00:00:00.000;CAN
9c1318ec83072375b82a5e58093a830a92667ac8;Europe;Client numero 1651;OEM; customer;0.0;1901-01-01 00:00:00.000;CZE
9c896f6753d7271ebdebeb0fcfdd8aa616894b11;Europe;Client numero 2691;aftermarket_only; customer;0.0;2008-09-01 00:00:00.000;ROU
9cfb93d5eadb4dcd9ce2288b0ae58c8dffde6de1;Asia;Client numero 2004;OEM; customer;0.0;2014-07-07 03:37:24.000;CHN
9cfbfe79f70de08f8a6d18adf1a1d1158d9daae0;Europe;Client numero 832;aftermarket_only; customer;0.0;2008-08-04 00:00:00.000;PRT
a2dd452da35c1b8803b78067d112196e86987852;Europe;Client numero 502;OEM; customer;0.0;2016-05-18 11:02:30.000;SWE
a46b85b16ce9108e5e380fedbb65810c2f8d6b4a;Europe;Client numero 1040;aftermarket_only; customer;3.0;2006-04-25 00:00:00.000;GBR
a75f51b261ebf48e01c0644810f0d58e42846c30;Europe;Client numero 1547;aftermarket_only; customer;0.0;2009-04-02 00:00:00.000;ITA
b2aa019b7411d8dbd0018db87d482d9037b802d4;Europe;Client numero 532;aftermarket_only; customer;0.0;2012-02-16 00:00:00.000;CHE
b97d7cc5db38eb76beea1f0acc88bd501d8e4008;Europe;Client numero 409;OEM; customer;0.0;1901-01-01 00:00:00.000;FRA
